Price,Close,High,Low,Open,Volume
Ticker,TARKM.IS,TARKM.IS,TARKM.IS,TARKM.IS,TARKM.IS
Date,,,,,
2023-09-12,118.19999694824219,118.19999694824219,118.19999694824219,118.19999694824219,14774
2023-09-13,130.0,130.0,130.0,130.0,13992
2023-09-15,157.3000030517578,157.3000030517578,157.3000030517578,157.3000030517578,39145
2023-09-18,173.0,173.0,173.0,173.0,61369
2023-09-19,190.3000030517578,190.3000030517578,190.3000030517578,190.3000030517578,79223
2023-09-20,209.3000030517578,209.3000030517578,209.3000030517578,209.3000030517578,116587
2023-09-21,230.1999969482422,230.1999969482422,230.1999969482422,230.1999969482422,175050
2023-09-22,253.1999969482422,253.1999969482422,253.1999969482422,253.1999969482422,273489
2023-09-25,278.5,278.5,278.5,278.5,160511
2023-09-26,306.29998779296875,306.29998779296875,306.29998779296875,306.29998779296875,130043
2023-09-27,336.8999938964844,336.8999938964844,336.8999938964844,336.8999938964844,1237183
2023-09-28,370.5,370.5,370.5,370.5,591697
2023-09-29,407.5,407.5,389.8999938964844,407.5,958775
2023-10-02,448.20001220703125,448.20001220703125,370.0,407.5,999530
2023-10-03,493.0,493.0,448.20001220703125,448.20001220703125,484180
2023-10-04,464.5,464.5,444.3999938964844,444.3999938964844,628826
2023-10-05,510.8999938964844,510.8999938964844,510.8999938964844,510.8999938964844,203967
2023-10-06,561.9000244140625,561.9000244140625,561.9000244140625,561.9000244140625,161633
2023-10-10,630.5,679.7999877929688,630.5,679.7999877929688,359317
2023-10-11,693.2999877929688,693.2999877929688,570.0,570.0,371782
2023-10-12,717.0,717.2000122070312,709.5999755859375,709.5999755859375,251791
2023-10-13,710.0,717.0,710.0,717.0,179809
2023-10-16,639.0,699.9000244140625,639.0,699.9000244140625,123013
2023-10-17,605.0,611.0,605.0,611.0,240061
2023-10-18,600.0,600.0,600.0,600.0,166101
2023-10-19,660.0,660.0,600.0,600.0,175838
2023-10-20,638.5999755859375,660.0,620.0,660.0,169664
2023-10-23,702.4000244140625,702.4000244140625,687.9000244140625,687.9000244140625,115514
2023-10-24,772.5999755859375,772.5999755859375,772.5999755859375,772.5999755859375,89864
2023-10-25,774.0,849.7999877929688,774.0,849.7999877929688,209893
2023-10-26,851.4000244140625,851.4000244140625,815.0,815.0,111895
2023-10-27,927.0,936.5,880.0,936.5,183735
2023-10-30,927.2999877929688,927.2999877929688,927.2000122070312,927.2000122070312,132219
2023-10-31,834.5999755859375,834.5999755859375,834.5999755859375,834.5999755859375,123811
2023-11-01,757.5,757.5,756.4000244140625,756.4000244140625,272642
2023-11-02,833.2000122070312,833.2000122070312,799.9000244140625,799.9000244140625,110265
2023-11-03,866.9000244140625,866.9000244140625,853.0,853.0,158318
2023-11-06,860.5,953.0,860.5,910.5,1326812
2023-11-07,774.5,845.5,774.5,840.5,2027862
2023-11-08,749.5,809.0,734.5,757.0,1269603
2023-11-09,743.0,782.5,721.5,742.0,966153
2023-11-10,726.0,757.0,721.5,750.0,546405
2023-11-13,672.0,721.5,669.0,720.0,1187229
2023-11-14,739.0,739.0,643.5,670.0,2448672
2023-11-15,733.0,797.0,725.0,759.0,1953203
2023-11-16,712.0,755.5,710.0,733.0,957117
2023-11-17,693.0,724.5,689.5,712.0,582390
2023-11-20,684.5,714.5,671.0,685.0,507091
2023-11-21,665.5,690.0,662.0,684.5,446551
2023-11-22,732.0,732.0,657.0,665.5,980861
2023-11-23,696.5,753.0,696.5,747.5,1218897
2023-11-24,685.5,709.0,676.5,696.5,404396
2023-11-27,681.0,698.0,672.0,685.5,528451
2023-11-28,665.0,698.5,664.0,681.0,455466
2023-11-29,676.0,718.5,658.0,666.5,1219099
2023-11-30,663.0,695.0,662.0,675.0,610187
2023-12-01,624.5,671.5,617.0,664.0,686181
2023-12-04,613.0,634.5,595.0,624.0,698898
2023-12-05,628.0,661.0,611.0,616.0,673993
2023-12-06,614.0,657.5,607.0,628.0,1083309
2023-12-07,611.5,622.0,600.0,614.0,545069
2023-12-08,611.0,628.0,606.0,611.5,431886
2023-12-11,575.0,611.0,574.5,610.5,481046
2023-12-12,605.0,617.0,570.5,574.0,777095
2023-12-13,614.5,637.5,574.5,604.5,915441
2023-12-14,603.0,636.5,590.0,624.0,422817
2023-12-15,592.0,625.0,590.0,604.0,500671
2023-12-18,571.0,598.5,552.5,592.0,530303
2023-12-19,571.5,582.0,560.5,572.5,332937
2023-12-20,535.0,573.0,530.0,572.5,290991
2023-12-21,514.0,545.0,495.5,536.0,827666
2023-12-22,493.0,518.0,489.25,514.0,336708
2023-12-26,445.75,489.5,435.5,444.0,1320572
2023-12-27,490.25,490.25,435.0,445.0,1027709
2023-12-28,501.5,530.0,501.5,506.0,780420
2023-12-29,551.5,551.5,495.25,502.0,630006
2024-01-02,584.0,606.5,570.0,596.5,1131026
2024-01-03,564.0,599.0,559.0,587.5,553508
2024-01-04,620.0,620.0,562.0,563.0,1376791
2024-01-05,623.5,675.0,622.5,637.0,1493255
2024-01-08,620.0,655.0,610.0,632.5,734665
2024-01-09,607.5,635.0,596.0,621.0,606945
2024-01-10,602.0,616.5,595.5,608.0,420519
2024-01-11,597.5,622.5,595.5,603.0,502861
2024-01-12,612.5,632.0,584.5,585.0,741369
2024-01-15,605.0,625.5,601.5,618.0,398452
2024-01-16,610.0,640.5,600.5,606.0,792659
2024-01-17,594.0,615.0,588.0,610.0,451417
2024-01-18,583.0,603.0,582.0,600.0,368785
2024-01-19,586.0,614.0,582.0,583.0,706323
2024-01-22,609.0,637.5,582.0,586.0,1312620
2024-01-25,675.0,678.5,629.5,635.0,1328210
2024-01-26,742.5,742.5,668.5,678.0,949487
2024-01-29,816.5,816.5,769.5,770.0,480378
2024-01-30,810.0,898.0,784.5,860.0,3329760
2024-01-31,805.0,836.0,790.0,815.0,1279659
2024-02-01,775.0,827.5,771.0,805.0,975560
2024-02-02,767.0,792.0,761.0,775.0,768117
2024-02-05,783.0,818.0,755.5,763.5,1153709
2024-02-06,806.0,827.5,783.0,790.5,1505710
2024-02-07,778.0,820.0,771.0,819.0,802666
2024-02-08,777.5,794.5,767.5,778.5,685238
2024-02-09,815.0,855.0,778.5,784.5,2869163
2024-02-12,806.5,844.0,804.5,825.0,1079966
2024-02-13,773.5,826.5,773.5,808.5,959232
2024-02-14,800.5,801.5,760.0,776.0,887955
2024-02-15,800.0,821.5,792.0,816.0,976566
2024-02-16,780.5,810.0,779.5,804.0,581601
2024-02-19,805.0,847.5,781.0,785.0,1964300
2024-02-20,816.0,833.5,791.0,815.0,1146456
2024-02-21,802.5,858.5,797.0,825.0,1202498
2024-02-22,805.0,821.5,797.5,808.0,636883
2024-02-23,835.0,885.5,795.0,808.5,3200572
2024-02-26,848.5,888.5,842.0,849.0,1470710
2024-02-27,801.5,854.5,800.5,850.0,794661
2024-02-28,783.5,821.0,782.0,797.0,722871
2024-02-29,802.0,809.5,782.0,783.5,611142
2024-03-01,789.5,807.5,783.5,807.0,438593
2024-03-04,754.0,794.0,752.5,791.0,414659
2024-03-05,723.0,779.0,716.5,753.5,656882
2024-03-06,714.5,724.5,699.5,723.0,532496
2024-03-07,724.5,740.5,710.0,724.5,592155
2024-03-08,707.5,753.5,698.5,730.0,638607
2024-03-11,683.5,725.0,683.0,725.0,413109
2024-03-12,717.5,744.5,675.0,683.5,1168299
2024-03-13,690.0,718.0,690.0,717.5,366965
2024-03-14,700.0,708.5,689.5,694.0,365663
2024-03-15,678.0,704.5,678.0,702.0,272130
2024-03-18,655.5,684.5,655.5,680.0,307500
2024-03-19,681.0,692.0,650.0,655.5,415941
2024-03-20,673.5,700.5,672.5,683.0,296237
2024-03-21,660.0,693.5,656.0,688.5,323131
2024-03-22,657.5,676.0,650.0,660.0,253965
2024-03-25,647.5,667.5,645.0,654.0,266847
2024-03-26,628.0,651.5,618.0,648.5,254113
2024-03-27,638.5,651.0,623.0,633.0,253806
2024-03-28,635.0,642.0,621.0,638.5,247572
2024-03-29,642.5,649.5,629.0,635.0,292284
2024-04-01,611.0,645.5,611.0,642.5,218351
2024-04-02,595.0,625.0,592.0,611.0,235027
2024-04-03,592.0,600.0,582.5,591.0,193072
2024-04-04,570.0,609.0,565.0,594.5,259665
2024-04-05,556.5,563.5,525.5,534.5,658352
2024-04-08,612.0,612.0,552.0,557.5,551850
2024-04-09,620.5,654.0,612.0,613.0,392256
2024-04-15,607.5,619.5,594.5,610.0,343176
2024-04-16,585.0,606.0,580.5,606.0,244366
2024-04-17,582.0,598.5,571.0,587.0,207415
2024-04-18,570.5,589.0,567.0,585.5,230713
2024-04-19,575.0,592.5,557.5,569.0,237637
2024-04-22,569.0,597.0,567.0,577.0,243254
2024-04-24,601.0,625.5,570.5,570.5,1093684
2024-04-25,580.0,607.0,578.0,601.5,352520
2024-04-26,585.0,590.0,575.0,581.0,209532
2024-04-29,569.0,596.0,565.0,589.0,235931
2024-04-30,565.5,579.5,563.5,571.0,226832
2024-05-02,576.5,585.5,566.0,570.0,423209
2024-05-03,579.0,596.0,573.0,576.5,379234
2024-05-06,574.5,584.5,569.0,580.5,269363
2024-05-07,566.5,596.5,546.5,575.0,363154
2024-05-08,568.5,573.0,565.5,569.0,209309
2024-05-09,555.0,572.0,551.0,571.0,203541
2024-05-10,540.0,555.0,540.0,555.0,198505
2024-05-13,515.0,540.5,515.0,540.0,252552
2024-05-14,519.5,527.5,510.0,510.0,191030
2024-05-15,529.0,559.0,522.0,522.5,412864
2024-05-16,531.5,537.0,525.0,527.5,146108
2024-05-17,533.0,550.5,531.5,535.0,259899
2024-05-20,530.5,536.0,526.0,533.0,218053
2024-05-21,515.5,533.5,514.0,531.0,195458
2024-05-22,524.0,528.0,515.0,515.5,188011
2024-05-23,516.0,531.0,515.5,529.0,161872
2024-05-24,505.0,517.0,500.0,516.5,148038
2024-05-27,490.0,510.0,489.0,505.0,278623
2024-05-28,489.0,500.5,488.0,491.5,164213
2024-05-29,471.5,488.5,470.25,488.5,169591
2024-05-30,475.0,477.25,467.25,471.5,133131
2024-05-31,483.0,490.0,471.75,475.0,175064
2024-06-03,483.25,486.75,469.25,485.5,211174
2024-06-04,486.0,496.5,478.25,484.0,229555
2024-06-05,473.5,488.75,468.0,488.0,151313
2024-06-06,476.25,486.75,473.5,473.5,118780
2024-06-07,455.0,480.25,453.5,476.25,147452
2024-06-10,448.0,458.75,447.25,454.75,132783
2024-06-11,452.5,458.75,446.0,454.0,141586
2024-06-12,497.75,497.75,452.5,470.75,228663
2024-06-13,470.0,530.5,470.0,525.0,878547
2024-06-14,473.5,482.0,463.25,472.75,372789
2024-06-20,486.0,489.25,474.25,474.25,235740
2024-06-21,496.5,506.5,483.75,490.0,328601
2024-06-24,476.75,500.5,476.75,500.0,208500
2024-06-25,467.5,478.75,465.0,476.75,160182
2024-06-26,452.0,471.0,452.0,468.0,144825
2024-06-27,459.25,461.25,430.0,452.5,180490
2024-06-28,454.25,467.5,452.5,460.25,156719
2024-07-01,429.25,458.5,426.5,456.5,220384
2024-07-02,439.25,439.5,422.5,430.75,182301
2024-07-03,433.0,445.75,429.0,439.5,144706
2024-07-04,439.75,445.25,431.75,433.0,192556
2024-07-05,443.75,446.5,435.0,440.0,153433
2024-07-08,450.0,451.5,441.25,443.75,191128
2024-07-09,495.0,495.0,445.5,450.0,423767
2024-07-10,501.5,544.5,496.25,525.0,1187088
2024-07-11,500.5,515.0,498.25,505.0,281791
2024-07-12,485.0,500.5,483.25,500.5,231042
2024-07-16,492.5,505.0,484.75,485.0,267913
2024-07-17,487.0,498.25,483.75,493.5,160350
2024-07-18,517.0,527.5,484.75,487.25,609918
2024-07-19,525.0,546.5,506.0,514.0,661928
2024-07-22,558.5,576.0,528.0,528.5,674088
2024-07-23,538.0,567.5,537.5,563.0,403881
2024-07-24,542.0,565.0,530.5,539.5,524126
2024-07-25,522.5,552.0,519.0,552.0,258468
2024-07-26,520.0,537.5,517.0,522.5,243688
2024-07-29,504.0,519.0,501.0,519.0,245132
2024-07-30,509.0,521.5,502.5,505.5,271978
2024-07-31,496.5,507.0,488.25,507.0,242170
2024-08-01,530.5,546.0,504.0,504.0,1042586
2024-08-02,510.0,527.0,499.25,516.0,347919
2024-08-05,473.5,505.0,467.0,480.0,343890
2024-08-06,483.25,496.0,474.0,486.5,256540
2024-08-07,480.25,495.0,475.75,484.5,202903
2024-08-08,478.5,483.25,475.0,476.5,214654
2024-08-09,464.5,481.25,462.75,480.25,195821
2024-08-12,450.5,472.75,450.5,465.0,200205
2024-08-13,449.0,456.75,443.75,451.0,179705
2024-08-14,460.5,493.75,450.25,455.0,914484
2024-08-15,477.0,489.5,450.0,462.0,620952
2024-08-16,465.25,482.0,464.5,480.0,169519
2024-08-19,477.25,487.0,463.25,466.25,290240
2024-08-20,468.0,478.0,466.0,477.25,168197
2024-08-21,462.0,472.5,461.75,467.75,124414
2024-08-22,460.5,469.0,459.75,465.0,131971
2024-08-23,451.0,460.75,449.0,460.5,110956
2024-08-26,445.0,459.5,436.75,456.0,138462
2024-08-27,451.25,472.75,440.0,442.0,256387
2024-08-28,446.0,455.0,446.0,448.5,114898
2024-08-29,454.5,458.5,446.0,448.0,141615
2024-09-02,469.0,482.25,457.0,458.0,437344
2024-09-03,478.5,492.25,465.75,469.0,478559
2024-09-05,468.75,473.75,461.5,464.25,174827
2024-09-06,478.5,505.5,467.75,468.0,903107
2024-09-09,481.25,495.5,472.0,478.25,316675
2024-09-10,501.0,518.5,481.0,481.25,800987
2024-09-11,477.0,498.5,474.25,495.5,318681
2024-09-12,466.0,484.5,459.25,480.0,220087
2024-09-13,478.0,483.75,466.0,471.0,200221
2024-09-16,490.25,502.5,478.75,478.75,342783
2024-09-17,486.0,496.0,482.75,495.0,155480
2024-09-18,474.0,488.0,474.0,486.0,159022
2024-09-19,480.5,484.75,474.25,474.25,143798
2024-09-20,486.0,489.0,472.25,480.75,198684
2024-09-23,471.0,497.75,470.0,494.0,206462
2024-09-24,463.0,476.25,463.0,472.75,185906
2024-09-25,457.0,470.0,455.75,463.0,155025
2024-09-26,449.5,464.5,449.0,458.25,134704
2024-09-27,453.75,453.75,447.0,450.75,94993
2024-09-30,446.0,458.75,445.25,453.75,92610
2024-10-01,425.25,449.75,423.75,446.0,163934
2024-10-02,409.25,430.0,409.0,425.25,176414
2024-10-03,410.0,419.75,408.0,409.25,134848
2024-10-04,417.25,418.0,405.5,411.0,112952
2024-10-07,416.25,424.75,413.25,418.25,102171
2024-10-08,413.0,418.75,410.75,416.75,88480
2024-10-09,412.0,416.0,405.0,413.0,90375
2024-10-10,408.0,417.5,405.25,412.0,82351
2024-10-11,395.0,409.75,394.5,408.5,141894
2024-10-14,382.5,399.5,375.5,395.0,122706
2024-10-15,394.5,394.75,384.0,385.0,86336
2024-10-16,394.75,397.0,389.5,394.25,90867
2024-10-17,402.5,402.75,394.75,395.0,120972
2024-10-18,399.0,410.25,395.0,402.25,102958
2024-10-21,386.5,400.0,386.5,399.0,100335
2024-10-22,394.25,396.5,380.0,387.0,129711
2024-10-23,388.0,397.75,385.5,395.75,108793
2024-10-24,398.75,406.25,390.25,392.0,200523
2024-10-25,399.0,401.5,394.0,397.5,91290
2024-10-28,400.75,404.75,399.5,400.75,51149
2024-10-30,417.5,440.75,400.5,400.75,749638
2024-10-31,403.75,414.0,403.5,413.5,171214
2024-11-01,420.25,444.0,406.25,407.0,580430
2024-11-04,421.5,445.0,412.0,428.5,427982
2024-11-05,429.75,440.5,424.5,425.25,329529
2024-11-06,426.5,436.25,423.0,436.25,265636
2024-11-07,432.75,440.0,424.25,429.25,260597
2024-11-08,437.5,443.25,429.25,432.75,245298
2024-11-11,442.75,454.5,437.5,438.75,229222
2024-11-12,426.5,441.0,426.5,440.5,151479
2024-11-13,438.5,449.5,428.0,428.0,341545
2024-11-14,457.5,472.0,435.75,438.5,379504
2024-11-15,460.0,484.0,455.0,478.25,532248
2024-11-18,450.0,465.75,449.5,460.0,210946
2024-11-19,452.25,464.0,443.5,450.0,386835
2024-11-20,439.0,464.75,438.5,452.75,304380
2024-11-21,454.75,459.0,439.5,441.0,244191
2024-11-22,466.0,470.25,453.0,458.25,285000
2024-11-25,458.0,471.5,457.25,468.5,174039
2024-11-26,455.75,461.75,450.5,458.0,207160
2024-11-27,451.5,460.75,451.5,460.75,143446
2024-11-28,445.0,451.0,443.75,448.25,108505
2024-11-29,446.75,453.0,442.5,445.0,113327
2024-12-02,440.0,446.0,440.0,444.0,134077
2024-12-03,445.75,451.5,439.0,440.0,147323
2024-12-04,443.0,449.25,441.5,446.25,127172
2024-12-05,446.0,450.5,443.75,444.0,132108
2024-12-06,451.75,455.0,445.0,447.5,261139
2024-12-09,464.0,470.0,456.0,456.0,319932
2024-12-10,450.0,463.25,450.0,459.75,210684
2024-12-11,446.5,472.5,445.25,451.0,262361
2024-12-12,447.0,456.0,446.0,447.5,153424
2024-12-13,451.5,453.25,445.25,447.75,113768
2024-12-16,448.0,456.75,447.25,451.75,142651
2024-12-17,445.25,450.5,438.75,448.0,133031
2024-12-18,433.5,446.5,432.75,445.25,116931
2024-12-19,427.5,441.25,427.0,433.25,113783
2024-12-20,426.5,432.0,420.0,427.5,105181
2024-12-23,416.25,429.0,416.0,426.5,86962
2024-12-24,414.75,422.75,408.25,416.25,120863
2024-12-25,418.0,423.0,417.0,420.5,82008
2024-12-26,434.0,452.25,416.25,418.25,469294
2024-12-27,436.75,451.75,434.25,438.25,208098
2024-12-30,428.0,440.75,427.5,435.75,147371
2024-12-31,437.0,445.25,423.75,428.0,206963
2025-01-02,438.0,447.25,432.5,438.0,100317
2025-01-03,438.0,442.0,434.0,438.75,131460
2025-01-06,440.75,445.0,439.75,440.75,170980
2025-01-07,443.75,449.0,437.75,442.25,200214
2025-01-08,436.75,449.0,435.5,444.0,127114
2025-01-09,446.25,446.25,437.0,437.5,138800
2025-01-10,448.25,465.75,443.25,446.25,344299
2025-01-13,432.25,451.75,432.0,448.5,130583
2025-01-14,423.0,438.0,413.0,433.75,102760
2025-01-15,428.5,430.75,419.75,424.75,84883
2025-01-16,429.75,433.75,426.0,432.5,54886
2025-01-17,425.75,430.25,424.5,429.75,53586
2025-01-20,421.0,432.0,413.25,426.25,115344
2025-01-21,417.5,420.25,414.0,420.0,77458
2025-01-22,411.25,420.0,408.75,417.25,104668
2025-01-23,412.0,415.75,410.0,411.75,70389
2025-01-24,413.75,416.0,409.0,414.0,94585
2025-01-27,402.25,413.5,402.0,413.5,87066
2025-01-28,407.0,410.0,401.5,404.25,118507
2025-01-29,400.0,410.0,400.0,407.0,68887
2025-01-30,396.5,404.0,396.5,400.25,83720
2025-01-31,395.25,400.0,390.0,397.0,75842
2025-02-03,386.5,391.75,384.5,389.75,87099
2025-02-04,388.75,395.25,378.75,386.5,64486
2025-02-05,379.25,391.25,371.25,389.0,94738
2025-02-06,382.5,385.75,380.5,380.5,58687
2025-02-07,389.0,389.0,381.25,382.5,68775
2025-02-10,381.5,391.0,380.0,388.75,77839
2025-02-11,377.0,380.75,376.0,380.5,77320
2025-02-12,370.0,381.5,369.75,377.0,86774
2025-02-13,370.5,377.5,360.25,372.75,87516
2025-02-14,369.25,372.0,352.0,370.5,84567
2025-02-17,368.0,372.5,363.75,368.5,68509
2025-02-18,361.0,367.5,359.0,367.5,72560
2025-02-19,355.5,365.0,351.0,361.0,94451
2025-02-20,362.5,363.5,355.75,355.75,79187
2025-02-21,353.0,365.0,346.75,363.0,100719
2025-02-24,358.0,362.0,353.0,355.0,86725
2025-02-25,344.5,358.0,341.0,358.0,106186
2025-02-26,348.0,367.0,338.5,345.25,205346
2025-02-27,350.0,352.0,343.0,347.5,84207
2025-02-28,345.0,350.0,344.0,349.0,66034
2025-03-03,343.25,351.5,343.25,345.5,78504
2025-03-04,340.0,361.25,339.5,355.0,179648
2025-03-05,348.0,354.0,340.5,343.0,126160
2025-03-06,359.75,361.5,348.25,348.25,128653
2025-03-07,369.5,372.75,354.5,359.75,177943
2025-03-10,381.0,390.25,366.0,371.0,206202
2025-03-11,378.0,383.75,368.75,381.0,91512
2025-03-12,370.75,380.0,367.5,378.0,89059
2025-03-13,376.0,381.0,370.75,370.75,101195
2025-03-14,390.0,406.0,377.75,379.0,355254
2025-03-17,388.25,396.75,384.75,396.75,175878
2025-03-18,383.75,394.25,378.0,388.0,211214
2025-03-19,345.5,371.75,345.5,360.0,182353
2025-03-20,344.0,360.0,339.5,345.5,171321
2025-03-21,325.25,342.75,310.75,342.75,132937
2025-03-24,327.25,336.75,313.0,325.25,147610
2025-03-25,336.75,339.5,328.5,330.0,140236
2025-03-26,333.5,338.25,326.0,332.25,106046
2025-03-27,353.75,366.75,334.5,334.5,577008
2025-03-28,358.0,358.0,342.5,353.75,142737
2025-04-02,356.75,363.0,352.5,357.25,120883
2025-04-03,347.5,359.25,345.0,356.5,91032
2025-04-04,338.5,350.5,334.75,348.25,121891
2025-04-07,332.5,338.25,320.0,328.75,149600
2025-04-08,338.5,344.0,334.75,335.25,172030
2025-04-09,336.0,348.0,330.25,335.5,176353
2025-04-10,339.0,344.75,339.0,344.75,122989
2025-04-11,365.0,365.0,335.5,339.0,465179
2025-04-14,369.0,390.0,368.0,377.0,413836
2025-04-15,360.25,369.75,359.25,369.0,177821
2025-04-16,365.75,382.5,354.75,358.75,554544
2025-04-17,371.25,376.5,360.0,374.75,322255
2025-04-18,361.25,375.0,359.0,372.0,159064
2025-04-21,358.25,368.25,353.5,353.5,169897
2025-04-22,352.25,361.5,350.75,358.25,112431
2025-04-24,360.75,364.75,347.75,351.5,153479
2025-04-25,388.5,388.5,359.0,360.75,314028
2025-04-28,370.5,393.25,367.75,393.0,300403
2025-04-29,364.0,386.0,363.75,370.5,317662
2025-04-30,351.5,367.0,351.5,363.5,131719
2025-05-02,351.25,362.0,346.75,352.0,185681
2025-05-05,349.5,367.5,349.0,352.0,269575
2025-05-06,345.75,355.0,345.5,350.25,137524
2025-05-07,346.75,352.25,339.75,348.0,137419
2025-05-08,350.0,354.25,345.0,347.0,92714
2025-05-09,349.5,352.0,347.0,350.0,92024
2025-05-12,358.25,359.5,351.0,351.0,181818
2025-05-13,354.0,370.0,352.75,361.0,304620
2025-05-14,353.5,360.0,350.5,354.0,129098
2025-05-15,349.0,356.0,347.5,354.0,103257
2025-05-16,349.75,352.0,346.75,349.0,87421
2025-05-20,343.0,351.75,342.5,349.75,95627
2025-05-21,339.25,346.5,338.0,343.0,68737
2025-05-22,335.75,343.75,335.25,339.5,76139
2025-05-23,328.75,337.25,328.5,335.75,138890
2025-05-26,327.75,335.0,326.5,330.5,79867
2025-05-27,324.5,330.25,324.25,329.0,89107
2025-05-28,314.25,327.75,313.0,324.5,120576
2025-05-29,312.5,321.0,312.25,315.75,71061
2025-05-30,305.0,313.75,305.0,312.5,88418
2025-06-02,300.5,307.75,300.0,305.0,68120
2025-06-03,307.0,309.25,301.25,301.25,68330
2025-06-04,317.0,318.0,307.25,311.5,74819
2025-06-05,319.25,323.25,313.25,317.0,37874
2025-06-10,316.25,323.25,315.75,319.0,86250
2025-06-11,316.0,317.5,312.25,316.5,104215
2025-06-12,307.0,315.5,306.75,315.5,76300
2025-06-13,298.0,305.0,288.25,295.25,120644
2025-06-16,299.5,303.25,293.0,298.0,67860
2025-06-17,303.75,306.0,299.0,299.5,93679
2025-06-18,307.0,319.5,299.25,302.0,240611
2025-06-19,307.0,319.0,306.5,309.0,83600
2025-06-20,309.0,317.75,306.25,307.25,84611
2025-06-23,301.25,305.0,298.5,302.75,61744
2025-06-24,308.0,311.75,305.0,310.0,97505
2025-06-25,307.0,311.75,305.75,308.0,71031
2025-06-26,306.0,314.0,304.75,307.0,89075
2025-06-27,308.25,310.0,302.75,306.0,69224
2025-06-30,312.5,314.75,306.75,308.5,191623
2025-07-01,343.75,343.75,311.0,313.75,289296
2025-07-02,378.0,378.0,378.0,378.0,106075
2025-07-03,385.0,415.75,360.0,413.0,1761857
2025-07-04,390.25,403.0,368.0,385.75,482372
2025-07-07,402.25,423.25,373.75,387.0,779541
